EXPECTATION,CALL_MAN,SIMPLE_RANGE_EXP_IMP,EXPECTATION_RAISE_LIMIT,EXACT_RANGE_EXP_2,
0,0,0,435000,135000,
0,0,0,435000,135000,
0,0,0,435600,134400,
0,0,0,441600,128400,
0,0,0,439800,130200,
0,0,0,439800,130200,
0,0,0,439800,130200,
0,0,0,439500,130500,
0,0,0,433500,136500,
0,0,0,433500,136500,
0,0,0,433500,136500,
0,0,0,433500,136500,
0,0,0,432900,137100,
0,0,0,422400,147600,
0,0,0,422400,147600,
0,0,0,422400,147600,
0,0,0,422400,147600,
0,0,0,428400,141600,
0,0,0,419800,150200,
0,0,0,419800,150200,
0,0,0,425200,144800,
0,0,0,425200,144800,
0,0,0,431200,138800,
0,0,0,431800,138200,
0,0,0,430000,140000,
0,0,0,430000,140000,
0,0,0,437200,132800,
0,0,0,437800,132200,
0,0,0,437200,132800,
0,0,0,437200,132800,
0,0,0,437200,132800,
0,0,0,430000,140000,
0,0,0,427000,143000,
0,0,0,416100,153900,
0,0,0,416100,153900,
0,0,0,416100,153900,
0,0,0,416100,153900,
0,0,0,415800,154200,
0,0,0,415200,154800,
0,0,0,415200,154800,
0,0,0,418800,151200,
0,0,0,426000,144000,
0,0,0,425700,144300,
0,0,0,426300,143700,
0,0,0,431700,138300,
0,0,0,431700,138300,
0,0,0,431700,138300,
0,0,0,432300,137700,
0,0,0,423800,146200,
0,0,0,423800,146200,
0,0,0,423800,146200,
0,0,0,423800,146200,
0,0,0,423500,146500,
0,0,0,429500,140500,
0,0,0,429500,140500,
0,0,0,427700,142300,
0,0,0,427700,142300,
0,0,0,427400,142600,
0,0,0,427400,142600,
0,0,0,427400,142600,
0,0,0,427400,142600,
0,0,0,432800,137200,
0,0,0,438200,131800,
0,0,0,444200,125800,
0,0,0,449600,120400,
0,0,0,446000,124000,
0,0,0,444200,125800,
0,0,0,443900,126100,
0,0,0,444500,125500,
0,0,0,439100,130900,
0,0,0,440900,129100,
0,0,0,435500,134500,
0,0,0,441500,128500,
0,0,0,442100,127900,
0,0,0,447500,122500,
0,0,0,447500,122500,
0,0,0,447500,122500,
0,0,0,451700,118300,
0,0,0,452300,117700,
0,0,0,452300,117700,
0,0,0,452300,117700,
0,0,0,454100,115900,
0,0,0,453800,116200,
0,0,0,454400,115600,
0,0,0,454400,115600,
0,0,0,454400,115600,
0,0,0,447200,122800,
0,0,0,446900,123100,
0,0,0,433800,136200,
0,0,0,433800,136200,
0,0,0,441000,129000,
0,0,0,441000,129000,
0,0,0,440700,129300,
0,0,0,440100,129900,
0,0,0,440100,129900,
0,0,0,440100,129900,
0,0,0,440100,129900,
0,0,0,439800,130200,
0,0,0,439800,130200,
0,0,0,439800,130200,
0,0,0,445200,124800,
0,0,0,452400,117600,
0,0,0,451800,118200,
0,0,0,444500,125500,
0,0,0,444500,125500,
0,0,0,444500,125500,
0,0,0,440900,129100,
0,0,0,440300,129700,
0,0,0,434000,136000,
0,0,0,437600,132400,
0,0,0,435800,134200,
0,0,0,435800,134200,
0,0,0,429800,140200,
0,0,0,426800,143200,
0,0,0,434000,136000,
0,0,0,432200,137800,
0,0,0,425000,145000,
0,0,0,419000,151000,
0,0,0,418400,151600,
0,0,0,413000,157000,
