CALL_MAN,EXACT_RANGE,EXACT_RANGE,EXPECTATION,EXPECTATION
46350,100,250,200,3100
46350,100,250,200,3100
46650,100,250,200,2800
47250,100,250,200,2200
46950,100,250,200,2500
46350,100,250,200,3100
46350,100,250,200,3100
46650,100,250,200,2800
47250,100,250,200,2200
47250,100,250,200,2200
47250,100,250,200,2200
46950,100,250,200,2500
47250,100,250,200,2200
47850,100,250,200,1600
47550,100,250,200,1900
47550,100,250,200,1900
47550,100,250,200,1900
47850,100,250,200,1600
48450,100,250,200,1000
48450,100,250,200,1000
48450,100,250,200,1000
48150,100,250,200,1300
46850,100,250,200,2600
47450,100,250,200,2000
46850,100,250,200,2600
46850,100,250,200,2600
46850,100,250,200,2600
47150,100,250,200,2300
47750,100,250,200,1700
47750,100,250,200,1700
47750,100,250,200,1700
47150,100,250,200,2300
47450,100,250,200,2000
48050,100,250,200,1400
48050,100,250,200,1400
48050,100,250,200,1400
48050,100,250,200,1400
48350,100,250,200,1100
48950,100,250,200,500
48650,100,250,200,800
48650,100,250,200,800
48650,100,250,200,800
47850,100,250,200,1600
48450,100,250,200,1000
48450,100,250,200,1000
48450,100,250,200,1000
48450,100,250,200,1000
48750,100,250,200,700
48050,100,250,200,1400
48050,100,250,200,1400
48050,100,250,200,1400
48050,100,250,200,1400
48650,100,250,200,800
47850,100,250,200,1600
48150,100,250,200,1300
48150,100,250,200,1300
47550,100,250,200,1900
47850,100,250,200,1600
49050,100,250,200,400
49050,100,250,200,400
48750,100,250,200,700
48750,100,250,200,700
48750,100,250,200,700
48050,100,250,200,1400
48050,100,250,200,1400
48050,100,250,200,1400
48050,100,250,200,1400
48350,100,250,200,1100
49450,100,250,200,0
