SIMPLE_RANGE,EXACT_RANGE,EXACT_RANGE,EXPECTATION,EXPECTATION
200,100,1600,34200,13900
200,100,1600,34200,13900
200,100,1600,34200,13900
200,100,1300,34500,13900
200,100,1300,35100,13300
200,100,1900,35100,12700
200,100,1900,35100,12700
200,100,1900,35100,12700
200,100,1600,35400,12700
200,100,1600,36000,12100
200,100,1900,36000,11800
200,100,1900,36000,11800
200,100,1900,36000,11800
200,100,1600,36300,11800
200,100,1600,36900,11200
200,100,1900,36900,10900
200,100,1900,36900,10900
200,100,1900,36900,10900
200,100,1600,37200,10900
200,100,1600,36900,11200
200,100,1900,36900,10900
200,100,1900,36900,10900
200,100,1900,36900,10900
200,100,1600,37200,10900
200,100,1600,36600,11500
200,100,1900,36600,11200
200,100,1900,36600,11200
200,100,1900,36600,11200
200,100,1600,36900,11200
200,100,1600,36600,11500
200,100,1900,36600,11200
200,100,1900,36600,11200
200,100,1900,36600,11200
200,100,1600,36900,11200
200,100,1600,36600,11500
200,100,2200,36600,10900
200,100,2200,36600,10900
200,100,2200,36600,10900
200,100,1900,36900,10900
200,100,1900,35400,12400
200,100,1300,35400,13000
200,100,1300,35400,13000
200,100,1300,35400,13000
200,100,1000,35700,13000
200,100,1000,35400,13300
200,100,1300,35400,13000
200,100,1300,35400,13000
200,100,1300,35400,13000
200,100,1000,35700,13000
200,100,1000,34200,14500
200,100,1300,34200,14200
200,100,1300,34200,14200
200,100,1300,34200,14200
200,100,1000,34500,14200
200,100,1000,36000,12700
200,100,1300,36000,12400
200,100,1300,36000,12400
200,100,1300,36000,12400
200,100,1000,36300,12400
200,100,1000,35700,13000
200,100,1300,35700,12700
200,100,1300,35700,12700
200,100,1300,35700,12700
200,100,1000,36000,12700
200,100,1000,35700,13000
200,100,1300,35700,12700
200,100,1300,35700,12700
200,100,1300,35700,12700
200,100,1000,36000,12700
200,100,1000,35700,13000
200,100,400,35700,13600
200,100,400,35700,13600
200,100,400,35700,13600
200,100,100,36000,13600
200,100,100,35700,13900
200,100,100,36000,13600
200,100,100,36000,13600
200,100,100,36000,13600
200,100,100,36000,13600
200,100,100,35700,13900
200,100,100,36000,13600
200,100,100,36000,13600
200,100,100,36000,13600
200,100,100,36000,13600
200,100,100,35700,13900
200,100,100,34200,15400
200,100,100,34200,15400
200,100,100,34200,15400
200,100,100,34200,15400
200,100,100,33900,15700
200,100,100,34200,15400
200,100,100,34200,15400
200,100,100,34200,15400
200,100,100,34200,15400
200,100,100,33900,15700
200,100,100,34200,15400
200,100,100,34200,15400
200,100,100,34200,15400
200,100,100,34200,15400
200,100,100,33000,16600
200,100,100,33300,16300
200,100,100,33300,16300
200,100,100,33300,16300
200,100,100,33300,16300
200,100,100,33000,16600
200,100,100,34200,15400
200,100,100,34200,15400
200,100,100,34200,15400
200,100,100,34200,15400
200,100,100,33900,15700
200,100,100,34200,15400
200,100,100,34200,15400
200,100,100,34200,15400
200,100,100,34200,15400
200,100,100,33900,15700
200,100,100,34200,15400
200,100,100,34200,15400
200,100,100,34200,15400
200,100,100,34200,15400
200,100,100,33900,15700
200,100,100,34200,15400
200,100,100,34200,15400
200,100,100,34200,15400
200,100,100,34200,15400
200,100,100,33600,16000
200,100,100,33900,15700
200,100,100,33900,15700
200,100,100,33900,15700
200,100,100,33900,15700
200,100,100,33600,16000
200,100,100,33900,15700
200,100,100,33900,15700
200,100,100,33900,15700
200,100,100,33900,15700
200,100,100,33600,16000
200,100,100,33900,15700
200,100,100,33900,15700
200,100,100,33900,15700
200,100,100,33900,15700
200,100,100,33600,16000
200,100,100,33900,15700
200,100,100,33900,15700
200,100,100,33900,15700
200,100,100,33900,15700
200,100,100,34500,15100
200,100,100,35100,14500
200,100,100,35100,14500
200,100,100,35100,14500
200,100,100,35100,14500
200,100,100,34800,14800
200,100,100,35100,14500
200,100,100,35100,14500
200,100,100,35100,14500
200,100,100,35100,14500
200,100,100,34200,15400
200,100,100,34500,15100
200,100,100,34500,15100
200,100,100,34500,15100
200,100,100,34500,15100
200,100,100,35700,13900
200,100,100,36000,13600
200,100,100,36000,13600
200,100,100,36000,13600
200,100,100,36000,13600
200,100,100,35700,13900
200,100,100,36000,13600
200,100,100,36000,13600
200,100,100,36000,13600
200,100,100,36000,13600
200,100,100,35700,13900
200,100,100,36300,13300
200,100,100,36300,13300
200,100,100,36300,13300
200,100,100,36300,13300
200,100,100,36000,13600
200,100,100,36300,13300
200,100,100,36300,13300
200,100,100,36300,13300
200,100,100,36300,13300
200,100,100,36000,13600
200,100,100,36300,13300
200,100,100,36300,13300
200,100,100,36300,13300
200,100,100,36300,13300
200,100,100,37200,12400
200,100,100,37500,12100
200,100,100,37500,12100
200,100,100,37500,12100
200,100,100,37500,12100
200,100,100,37200,12400
200,100,100,36600,13000
200,100,100,36600,13000
200,100,100,36600,13000
200,100,100,36600,13000
200,100,100,36300,13300
200,100,100,36600,13000
200,100,100,36600,13000
200,100,100,36600,13000
200,100,100,36600,13000
200,100,100,36300,13300
200,100,100,36600,13000
200,100,100,36600,13000
200,100,100,36600,13000
200,100,100,36600,13000
200,100,100,37200,12400
200,100,100,37500,12100
200,100,100,37500,12100
200,100,100,37500,12100
200,100,100,37500,12100
200,100,100,37200,12400
200,100,100,37500,12100
200,100,100,37500,12100
200,100,100,37500,12100
200,100,100,37500,12100
200,100,100,37200,12400
200,100,100,37500,12100
200,100,100,37500,12100
200,100,100,37500,12100
200,100,100,37500,12100
200,100,100,36000,13600
200,100,100,36300,13300
200,100,100,36300,13300
200,100,100,36300,13300
200,100,100,36300,13300
200,100,100,36000,13600
200,100,100,36300,13300
200,100,100,36300,13300
200,100,100,36300,13300
200,100,100,36300,13300
200,100,100,36900,12700
200,100,100,37200,12400
200,100,100,37200,12400
200,100,100,37200,12400
200,100,100,37200,12400
200,100,100,36900,12700
200,100,100,37200,12400
200,100,100,37200,12400
200,100,100,37200,12400
200,100,100,37200,12400
200,100,100,36900,12700
200,100,100,37500,12100
200,100,100,37500,12100
200,100,100,37500,12100
200,100,100,37500,12100
200,100,100,37200,12400
200,100,100,37500,12100
200,100,100,37500,12100
200,100,100,37500,12100
200,100,100,37500,12100
200,100,100,37200,12400
200,100,100,37500,12100
200,100,100,37500,12100
200,100,100,37500,12100
200,100,100,37500,12100
200,100,100,36600,13000
200,100,100,36900,12700
200,100,100,36900,12700
200,100,100,36900,12700
200,100,100,36900,12700
200,100,100,37500,12100
200,100,100,37800,11800
200,100,100,37800,11800
200,100,100,37800,11800
200,100,100,37800,11800
200,100,100,37500,12100
200,100,100,39000,10600
