CALL_MAN,SIMPLE_RANGE_EXP,SIMPLE_RANGE_EXP,EXPECTATION,EXPECTATION
0,0,20400,23800,5800
0,0,20100,24100,5800
0,0,20700,23500,5800
0,0,20700,23200,6100
0,0,21000,23200,5800
0,0,21000,23200,5800
0,0,20700,23500,5800
0,0,20400,23800,5800
0,0,20400,24400,5200
0,0,19500,24400,6100
0,0,19200,24700,6100
0,0,17700,23200,9100
0,0,17400,23500,9100
0,0,17400,23200,9400
0,0,17700,23200,9100
0,0,17400,23500,9100
0,0,17100,23800,9100
0,0,16800,24100,9100
0,0,16800,25300,7900
0,0,17100,25300,7
