EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_18_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_18_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP,
0,175200,0,142950,221850,0,
0,175200,0,142950,221850,0,
0,175200,0,142350,222450,0,
0,175500,0,142350,222150,0,
0,175500,0,142350,222150,0,
0,161100,0,171150,207750,0,
0,161700,0,170550,207750,0,
0,161700,0,170550,207750,0,
0,161100,0,159150,219750,0,
0,160500,0,160350,219150,0,
0,160500,0,160350,219150,0,
0,160500,0,160350,219150,0,
0,160200,0,160650,219150,0,
0,160200,0,160650,219150,0,
0,160200,0,161250,218550,0,
0,160500,0,161250,218250,0,
0,160500,0,161250,218250,0,
0,160500,0,161250,218250,0,
0,159900,0,161850,218250,0,
0,159900,0,161850,218250,0,
0,160800,0,161550,217650,0,
0,156600,0,166350,217050,0,
0,172800,0,166350,200850,0,
0,172800,0,166350,200850,0,
0,173100,0,165750,201150,0,
0,173100,0,165750,201150,0,
0,173100,0,165450,201450,0,
0,171300,0,167550,201150,0,
0,171300,0,167550,201150,0,
0,171300,0,167550,201150,0,
0,186300,0,152550,201150,0,
0,177300,0,161550,201150,0,
0,177300,0,172950,189750,0,
0,177600,0,172950,189450,0,
0,177600,0,172950,189450,0,
0,177600,0,172950,189450,0,
0,171600,0,179550,188850,0,
0,171600,0,179550,188850,0,
0,171600,0,179250,189150,0,
0,172200,0,179250,188550,0,
0,183000,0,179250,177750,0,
0,163200,0,199050,177750,0,
0,162900,0,198450,178650,0,
0,162900,0,202050,175050,0,
0,162900,0,201450,175650,0,
0,163200,0,201450,175350,0,
0,163200,0,201450,175350,0,
0,159600,0,205050,175350,0,
0,160200,0,204450,175350,0,
0,160200,0,209850,169950,0,
0,161100,0,209550,169350,0,
0,160500,0,196350,183150,0,
0,156900,0,199950,183150,0,
0,142500,0,214350,183150,0,
0,142200,0,214650,183150,0,
0,142200,0,214650,183150,0,
0,142200,0,215250,182550,0,
0,141600,0,216150,182250,0,
0,159600,0,198150,182250,0,
0,165000,0,192750,182250,0,
0,176400,0,181350,182250,0,
0,176400,0,181350,182250,0,
0,177600,0,180750,181650,0,
0,177900,0,180750,181350,0,
0,190500,0,168150,181350,0,
0,190500,0,168150,181350,0,
0,189900,0,168750,181350,0,
0,189900,0,168750,181350,0,
0,189900,0,168450,181650,0,
0,173100,0,168450,198450,0,
0,169500,0,168450,202050,0,
0,182100,0,155850,202050,0,
0,182700,0,155250,202050,0,
0,182700,0,149850,207450,0,
0,182700,0,150450,206850,0,
0,183000,0,150450,206550,0,
0,183000,0,150450,206550,0,
0,183000,0,150450,206550,0,
0,182700,0,150750,206550,0,
0,182700,0,150750,206550,0,
0,182700,0,150450,206850,0,
0,183300,0,150450,206250,0,
0,183300,0,150450,206250,0,
0,183300,0,150450,206250,0,
0,175500,0,158250,206250,0,
0,162900,0,170850,206250,0,
0,162900,0,171450,205650,0,
0,163500,0,171450,205050,0,
0,163500,0,187650,188850,0,
0,163500,0,187650,188850,0,
0,164100,0,187050,188850,0,
0,147900,0,203250,188850,0,
0,147900,0,203850,188250,0,
0,147300,0,203850,188850,0,
0,147300,0,216450,176250,0,
0,147300,0,216450,176250,0,
0,143100,0,220650,176250,0,
0,139500,0,224250,176250,0,
0,139500,0,223650,176850,0,
0,140100,0,223650,176250,0,
