EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT_LOW,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT_LOW,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT_LOW,
128400,98650,64800,0,169300,78850,
128400,98650,64800,0,165700,82450,
128400,98650,65700,0,165400,81850,
122400,98650,77700,0,165400,75850,
116400,92650,77100,0,178000,75850,
116400,102250,67500,0,178000,75850,
117600,102250,66900,0,177400,75850,
117600,102250,66900,0,177400,75850,
117600,102250,66900,0,178000,75250,
121800,102250,66900,0,178000,71050,
130200,101650,59100,0,178000,71050,
130200,101350,58500,0,178900,71050,
130200,101350,58200,0,185200,65050,
121200,97750,78000,0,185200,57850,
121200,97750,72000,0,191800,57250,
120600,97750,72000,0,192700,56950,
125400,97150,72000,0,192700,52750,
133200,89950,71400,0,192700,52750,
133200,89950,71100,0,193000,52750,
133200,89950,72900,0,193000,50950,
133200,89950,72900,0,192700,51250,
133500,89950,72900,0,192700,50950,
133200,89350,85800,0,181300,50350,
127200,89050,92700,0,180700,50350,
128400,89050,92100,0,180100,50350,
128400,89050,86700,0,185500,50350,
127800,89050,86700,0,192100,44350,
127200,95650,86700,0,192100,38350,
127800,95050,86700,0,192100,38350,
127800,95050,86700,0,192100,38350,
132000,94450,86100,0,191500,35950,
132000,94450,86100,0,189700,37750,
137100,90250,86100,0,189400,37150,
137400,90250,86100,0,189400,36850,
127800,89650,85500,0,200200,36850,
129600,89050,84900,0,200200,36250,
121800,89050,84600,0,208900,35650,
116400,89050,84600,0,217900,32050,
116400,90250,84600,0,217300,31450,
115800,90250,84600,0,217300,32050,
116400,89650,84600,0,217300,32050,
116400,89350,90900,0,217300,26050,
128400,89350,86700,0,209500,26050,
128400,89350,86700,0,209500,26050,
128400,90250,86700,0,209200,25450,
139800,90250,86700,0,209200,14050,
163200,89650,75300,0,197800,14050,
151800,89350,87000,0,197800,14050,
151800,89350,86700,0,198100,14050,
148200,94750,86700,0,198100,12250,
148200,94750,77100,0,197800,22150,
148500,94750,77100,0,197800,21850,
148200,94150,77100,0,197200,23350,
148200,103750,67500,0,197200,23350,
147600,103750,67200,0,198100,23350,
156600,103750,67200,0,189100,23350,
156600,101350,67200,0,195700,19150,
156000,101350,61200,0,195700,25750,
155400,98950,64200,0,195700,25750,
155400,98650,64500,0,195700,25750,
