EXACT_RANGE_EXP_6,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP,EXACT_RANGE_EXP_6,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_2,
0,113100,76800,52800,297300,0,
0,113100,76800,49200,300900,0,
0,113700,76800,49200,300300,0,
0,119100,76800,49200,294900,0,
0,119100,76800,49200,294900,0,
0,111300,84600,49200,294900,0,
0,111300,84000,49800,294900,0,
0,122100,83400,49200,285300,0,
0,122700,83400,49200,284700,0,
0,122700,83400,49200,284700,0,
0,122700,83400,49200,284700,0,
0,122400,89700,49200,278700,0,
0,123600,89100,48600,278700,0,
0,123600,89100,42600,284700,0,
0,123000,89100,43800,284100,0,
0,123000,98100,43800,275100,0,
0,130200,98100,43800,267900,0,
0,129900,93900,43800,272400,0,
0,129900,102300,36000,271800,0,
0,118500,114900,35400,271200,0,
0,119100,114900,35400,270600,0,
0,119100,114900,35400,270600,0,
0,119100,113100,37200,270600,0,
0,118800,113400,37200,270600,0,
0,121800,112800,34800,270600,0,
0,121800,112800,25500,279900,0,
0,121200,114000,25500,279300,0,
0,121200,119400,20100,279300,0,
0,121200,130200,16500,272100,0,
0,120900,130500,16500,272100,0,
0,120900,131100,15900,272100,0,
0,120900,141300,9900,267900,0,
0,119100,141300,9900,269700,0,
0,113700,146700,9900,269700,0,
0,113700,146700,9900,269700,0,
0,116100,144300,9900,269700,0,
0,117300,143700,9300,269700,0,
0,117300,143700,3900,275100,0,
0,116700,143700,5100,274500,0,
0,116700,143700,6300,273300,0,
0,116700,143700,6300,273300,0,
0,116400,139500,6300,277800,0,
0,116400,137100,8700,277800,0,
0,116400,136500,9900,277200,0,
0,115800,136500,20400,267300,0,
0,115800,136500,20400,267300,0,
0,114000,138300,20400,267300,0,
0,113700,135900,20400,270000,0,
0,113700,135300,21000,270000,0,
0,113100,135300,20400,271200,0,
0,113700,135300,20400,270600,0,
0,113700,135300,20400,270600,0,
0,108300,140700,20400,270600,0,
0,117900,131100,20400,270600,0,
0,117900,130500,19800,271800,0,
0,117900,130500,19800,271800,0,
0,117300,131700,19800,271200,0,
0,122700,129900,19800,267600,0,
0,122700,129900,19800,267600,0,
0,132300,120300,19800,267600,0,
0,132300,112500,27600,267600,0,
0,132300,113700,27000,267000,0,
0,132900,113700,27000,266400,0,
0,132900,113700,27000,266400,0,
0,132900,113700,27000,266400,0,
0,132300,107700,27000,273000,0,
0,132300,107100,25200,275400,0,
0,129900,107100,28200,274800,0,
0,129300,106500,28200,276000,0,
0,141900,97500,28200,272400,0,
0,149100,97500,28200,265200,0,
0,149700,96900,28200,265200,0,
0,149700,97500,27600,265200,0,
0,149700,97500,27000,265800,0,
0,149100,109500,27000,254400,0,
0,149100,116700,27000,247200,0,
