EXACT_RANGE_EXP_6_FLOP_EX_LIMIT_LOW,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT_LOW,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,
0,192150,173550,84300,
0,190350,182550,77100,
0,190950,181950,77100,
0,190950,182550,76500,
0,190350,182550,77100,
0,190350,182550,77100,
0,190050,182850,77100,
0,190050,182550,77400,
0,189450,182550,78000,
0,191250,180750,78000,
0,190950,181050,78000,
0,190950,180750,78300,
0,191250,180750,78000,
0,191250,180750,78000,
0,188850,183150,78000,
0,188850,183750,77400,
0,177450,183750,88800,
0,175650,183750,90600,
0,175050,184350,90600,
0,175050,192150,82800,
0,177450,192150,80400,
0,177450,192150,80400,
0,177150,192450,80400,
0,177150,192150,80700,
0,172950,192150,84900,
0,172950,192150,84900,
0,184650,191550,73800,
0,184650,190950,74400,
0,182250,190950,76800,
0,187650,190950,71400,
0,179850,183150,87000,
0,179850,182850,87300,
0,180150,182850,87000,
0,180150,182850,87000,
0,179850,183150,87000,
0,179850,183750,86400,
0,180150,183750,86100,
0,172950,183750,93300,
0,172650,184650,92700,
0,172650,185250,92100,
0,173550,184650,91800,
0,173550,184650,91800,
0,181950,184050,84000,
0,181950,184650,83400,
0,181350,184950,83700,
0,188550,177750,83700,
0,196950,177150,75900,
0,199950,176550,73500,
0,200250,176550,73200,
0,200250,180150,69600,
0,199950,179550,70500,
0,200850,179250,69900,
0,201150,179250,69600,
0,201150,179250,69600,
0,200850,178650,70500,
0,200850,172650,76500,
0,201150,172650,76200,
0,201150,169050,79800,
0,200850,169350,79800,
0,200850,169050,80100,
0,207450,163050,79500,
0,207450,163050,79500,
0,207150,163350,79500,
0,207150,172950,69900,
0,213150,172950,63900,
0,213150,167550,69300,
0,219750,166950,63300,
0,219750,166650,63600,
0,222150,166650,61200,
0,222150,166650,61200,
0,235350,153450,61200,
0,235350,152850,61800,
0,234750,153750,61500,
0,234750,153750,61500,
0,235350,153150,61500,
0,235350,152850,61800,
0,241650,146850,61500,
0,247050,141450,61500,
0,246750,141750,61500,
0,246750,141450,61800,
0,252750,141450,55800,
0,252750,141450,55800,
0,252450,141750,55800,
0,243450,141450,65100,
0,250050,140850,59100,
0,250050,140850,59100,
0,249450,141450,59100,
0,239850,151650,58500,
0,240150,151650,58200,
0,240150,151650,58200,
0,228750,163050,58200,
0,228750,167250,54000,
0,229050,167250,53700,
0,236250,167250,46500,
0,259050,155850,35100,
0,259050,163650,27300,
0,251250,182850,15900,
0,254850,179250,15900,
0,260850,173250,15900,
0,260250,161850,27900,
0,260550,161850,27600,
0,265950,156450,27600,
0,266550,155850,27600,
0,266550,155550,27900,
0,265950,149550,34500,
0,265950,149550,34500,
0,271950,143550,34500,
0,271950,143250,34800,
0,272250,143250,34500,
0,272250,143250,34500,
0,271950,143550,34500,
0,271950,137550,40500,
0,271350,137550,41100,
0,269550,137550,42900,
0,270150,136950,42900,
0,270150,125550,54300,
0,276150,125550,48300,
0,276150,125550,48300,
0,275850,125850,48300,
0,275850,126450,47700,
0,266550,126450,57000,
0,266550,126450,57000,
0,266250,126750,57000,
0,266250,127350,56400,
0,272250,127350,50400,
0,272250,125550,52200,
0,280050,117750,52200,
0,283050,117150,49800,
0,283350,117150,49500,
0,281550,117150,51300,
0,282150,116550,51300,
0,282150,115950,51900,
0,281550,116850,51600,
0,286950,111450,51600,
0,298950,110850,40200,
0,298950,111450,39600,
0,299550,111450,39000,
