EXPECTATION,EXPECTATION_RAISE_LIMIT_24,SIMPLE_RANGE_EXP_IMP,EXPECTATION_RAISE_LIMIT_2,EXACT_RANGE_EXP_2,
0,151300,0,0,418700,
0,150700,0,0,419300,
0,156100,0,0,413900,
0,155800,0,0,414200,
0,154000,0,0,416000,
0,149400,0,0,420600,
0,137900,0,0,432100,
0,137900,0,0,432100,
0,143900,0,0,426100,
0,153300,0,0,416700,
0,153300,0,0,416700,
0,152700,0,0,417300,
0,152700,0,0,417300,
0,152400,0,0,417600,
0,152400,0,0,417600,
0,152400,0,0,417600,
0,151800,0,0,418200,
0,148200,0,0,421800,
0,147900,0,0,422100,
0,163700,0,0,406300,
0,163700,0,0,406300,
0,163100,0,0,406900,
0,163100,0,0,406900,
0,162800,0,0,407200,
0,157400,0,0,412600,
0,157400,0,0,412600,
0,158000,0,0,412000,
0,165200,0,0,404800,
0,165800,0,0,404200,
0,165800,0,0,404200,
0,161000,0,0,409000,
0,161600,0,0,408400,
0,168800,0,0,401200,
0,168500,0,0,401500,
0,166100,0,0,403900,
0,166100,0,0,403900,
0,165500,0,0,404500,
0,161900,0,0,408100,
0,161300,0,0,408700,
0,155300,0,0,414700,
0,155300,0,0,414700,
0,164200,0,0,405800,
0,164200,0,0,405800,
0,155500,0,0,414500,
0,155500,0,0,414500,
0,155500,0,0,414500,
0,156100,0,0,413900,
0,154300,0,0,415700,
0,154000,0,0,416000,
0,154000,0,0,416000,
0,154000,0,0,416000,
0,149800,0,0,420200,
0,155200,0,0,414800,
0,154900,0,0,415100,
0,154900,0,0,415100,
0,182700,0,0,387300,
0,173700,0,0,396300,
0,173700,0,0,396300,
0,173400,0,0,396600,
0,173400,0,0,396600,
0,173400,0,0,396600,
0,172800,0,0,397200,
0,172800,0,0,397200,
0,178800,0,0,391200,
0,192100,0,0,377900,
0,205400,0,0,364600,
0,213200,0,0,356800,
0,213200,0,0,356800,
0,218600,0,0,351400,
0,209900,0,0,360100,
0,209900,0,0,360100,
0,192800,0,0,377200,
0,185600,0,0,384400,
0,186200,0,0,383800,
0,182600,0,0,387400,
0,174200,0,0,395800,
0,173600,0,0,396400,
0,173600,0,0,396400,
0,167600,0,0,402400,
0,167600,0,0,402400,
0,167600,0,0,402400,
0,168200,0,0,401800,
0,164600,0,0,405400,
0,158600,0,0,411400,
0,158600,0,0,411400,
0,158600,0,0,411400,
0,162800,0,0,407200,
0,162800,0,0,407200,
0,162500,0,0,407500,
0,176300,0,0,393700,
0,176300,0,0,393700,
0,176900,0,0,393100,
0,175100,0,0,394900,
0,175700,0,0,394300,
0,153200,0,0,416800,
0,154400,0,0,415600,
0,150800,0,0,419200,
0,147200,0,0,422800,
0,146900,0,0,423100,
0,138000,0,0,432000,
0,138000,0,0,432000,
0,153100,0,0,416900,
0,153100,0,0,416900,
0,152800,0,0,417200,
0,143400,0,0,426600,
0,143400,0,0,426600,
0,130500,0,0,439500,
0,132300,0,0,437700,
0,123500,0,0,446500,
