CALL_MAN,SIMPLE_RANGE_EXP,SIMPLE_RANGE_EXP,SIMPLE_RANGE_EXP_IMP,SIMPLE_RANGE_EXP_IMP,
0,0,9600,0,40400,
0,0,10800,0,39200,
0,0,10500,0,39500,
0,0,10200,0,39800,
0,0,9900,0,40100,
0,0,9300,0,40700,
0,0,9000,0,41000,
0,0,10500,0,39500,
0,0,10200,0,39800,
0,0,9900,0,40100,
0,0,10200,0,39800,
0,0,9900,0,40100,
0,0,9600,0,40400,
0,0,10800,0,39200,
0,0,10500,0,39500,
0,0,10800,0,39200,
0,0,10500,0,39500,
0,0,10200,0,39800,
0,0,9900,0,40100,
0,0,9600,0,40400,
0,0,8400,0,41600,
0,0,8100,0,41900,
0,0,7800,0,42200,
0,0,7500,0,42500,
0,0,7200,0,42800,
0,0,6600,0,43400,
0,0,7500,0,42500,
0,0,7200,0,42800,
0,0,6900,0,43100,
0,0,6600,0,43400,
0,0,6000,0,44000,
0,0,5700,0,44300,
0,0,5400,0,44600,
0,0,5100,0,44900,
0,0,6300,0,43700,
0,0,6600,0,43400,
0,0,6300,0,43700,
0,0,6000,0,44000,
0,0,5700,0,44300,
0,0,5400,0,44600,
0,0,5700,0,44300,
0,0,5400,0,44600,
0,0,5100,0,44900,
0,0,4800,0,45200,
0,0,4500,0,45500,
0,0,4800,0,45200,
0,0,3300,0,46700,
0,0,3900,0,46100,
0,0,2400,0,47600,
0,0,2100,0,47900,
0,0,2400,0,47600,
0,0,2100,0,47900,
0,0,1800,0,48200,
0,0,1500,0,48500,
0,0,1200,0,48800,
0,0,1500,0,48500,
0,0,1200,0,48800,
0,0,900,0,49100,
0,0,1500,0,48500,
0,0,2100,0,47900,
0,0,300,0,49700,
