EXACT_RANGE_EXP_6_FLOP_EX,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_6_FLOP,EXACT_RANGE_EXP_6_FLOP_EX,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_6_FLOP,
0,118200,95400,100800,0,225600,
0,117600,103800,93000,0,225600,
0,117600,103800,87000,0,231600,
0,117600,103800,88800,0,229800,
0,110400,103800,88800,0,237000,
0,109200,103800,88800,0,238200,
0,113400,99600,88800,0,238200,
0,113400,90000,79200,0,257400,
0,113400,80400,96600,0,249600,
0,102600,80400,96600,0,260400,
0,95100,80400,111600,0,252900,
0,95100,80400,111600,0,252900,
0,95100,80400,111600,0,252900,
0,96300,79800,111000,0,252900,
0,112500,72000,103200,0,252300,
0,116100,68400,103200,0,252300,
0,115500,62400,97200,0,264900,
0,115500,62400,97200,0,264900,
0,109500,69000,97200,0,264300,
0,109500,68400,96600,0,265500,
0,109500,68400,96600,0,265500,
0,109500,68400,96600,0,265500,
0,109500,68400,96600,0,265500,
0,109500,68400,98400,0,263700,
0,108900,69000,98400,0,263700,
0,108900,69600,97800,0,263700,
0,108900,69600,93600,0,267900,
0,108900,69600,93600,0,267900,
0,111300,69600,93600,0,265500,
0,111300,69600,93600,0,265500,
0,117300,63600,93600,0,265500,
0,117300,64200,93000,0,265500,
0,117300,64200,87000,0,271500,
0,117300,64200,87000,0,271500,
0,116700,61800,87000,0,274500,
0,116700,61800,87000,0,274500,
0,117300,61200,87000,0,274500,
0,117300,48300,99900,0,274500,
0,117300,48300,93900,0,280500,
0,117300,48300,93900,0,280500,
0,117900,48300,93900,0,279900,
0,117900,48300,93900,0,279900,
0,118500,47700,93900,0,279900,
0,118500,53700,87900,0,279900,
0,118500,53700,88500,0,279300,
0,110100,62100,88500,0,279300,
0,109500,70500,88500,0,271500,
0,102300,70500,88500,0,278700,
0,102900,69900,88500,0,278700,
0,102900,69300,89100,0,278700,
0,102900,70500,88500,0,278100,
0,102900,70500,83100,0,283500,
0,93300,89700,83100,0,273900,
0,93300,89700,83100,0,273900,
0,100500,82500,83100,0,273900,
0,100500,81900,82500,0,275100,
0,96300,81900,87300,0,274500,
0,96300,85500,87300,0,270900,
0,100500,85500,87300,0,266700,
0,100500,85500,87300,0,266700,
0,92700,79500,87300,0,280500,
0,92700,78900,87900,0,280500,
0,92700,78900,81900,0,286500,
0,92700,78900,76500,0,291900,
0,92100,78900,76500,0,292500,
0,92100,78900,76500,0,292500,
0,78900,78300,90300,0,292500,
0,78900,70500,89700,0,300900,
0,78900,70500,89100,0,301500,
0,78900,70500,89100,0,301500,
0,78300,72300,88500,0,300900,
0,78300,72300,88500,0,300900,
0,77700,73500,88500,0,300300,
0,77700,74100,87900,0,300300,
0,77700,74100,88500,0,299700,
0,77700,74100,88500,0,299700,
0,77100,74100,89700,0,299100,
0,77100,74100,89700,0,299100,
0,82500,68700,89700,0,299100,
0,82800,68100,90000,0,299100,
0,82800,68100,89400,0,299700,
0,82800,55500,114600,0,287100,
0,82200,56700,114600,0,286500,
0,82200,56700,114600,0,286500,
0,70800,68100,114600,0,286500,
0,70800,74100,108600,0,286500,
0,72000,74100,108000,0,285900,
0,72000,74100,108000,0,285900,
0,64200,74100,116400,0,285300,
0,64200,74100,116400,0,285300,
