EXPECTATION,EXPECTATION_RAISE_LIMIT_24,SIMPLE_RANGE_EXP_IMP,EXPECTATION_RAISE_LIMIT_2,EXACT_RANGE_EXP_2,
0,225600,0,163700,180700,
0,226200,0,163100,180700,
0,235200,0,154100,180700,
0,235200,0,153800,181000,
0,241200,0,153800,175000,
0,246600,0,148400,175000,
0,246300,0,147800,175900,
0,254000,0,141300,174700,
0,254000,0,140700,175300,
0,249800,0,140700,179500,
0,257000,0,140700,172300,
0,256400,0,141300,172300,
0,256400,0,141300,172300,
0,256400,0,135300,178300,
0,277800,0,114500,177700,
0,270600,0,114500,184900,
0,257800,0,127300,184900,
0,257800,0,127300,184900,
0,257800,0,127000,185200,
0,273300,0,127000,169700,
0,273300,0,127000,169700,
0,270900,0,129400,169700,
0,270900,0,129400,169700,
0,270900,0,129100,170000,
0,271500,0,129100,169400,
0,278700,0,129100,162200,
0,279900,0,128500,161600,
0,180000,0,228400,161600,
0,180000,0,232600,157400,
0,166800,0,232600,170600,
0,166800,0,232600,170600,
0,171600,0,232000,166400,
0,171600,0,232000,166400,
0,171600,0,232600,165800,
0,171600,0,232600,165800,
0,171600,0,232600,165800,
0,183800,0,220400,165800,
0,183800,0,220400,165800,
0,183800,0,220100,166100,
0,205900,0,220100,144000,
0,205900,0,220100,144000,
0,206500,0,219500,144000,
0,206500,0,219500,144000,
0,207400,0,219200,143400,
0,223100,0,219200,127700,
0,226700,0,219200,124100,
0,233300,0,218600,118100,
0,233300,0,218600,118100,
0,234200,0,218300,117500,
0,222100,0,218300,129600,
0,222100,0,218300,129600,
0,237100,0,203300,129600,
0,237100,0,210500,122400,
0,237100,0,216500,116400,
0,241300,0,216500,112200,
0,241300,0,216500,112200,
0,241000,0,215900,113100,
0,201000,0,255900,113100,
0,201000,0,255600,113400,
0,207600,0,255000,107400,
0,207600,0,255000,107400,
0,207000,0,255600,107400,
0,214500,0,255600,99900,
0,214500,0,255300,100200,
0,213900,0,255300,100800,
0,213900,0,255300,100800,
0,109800,0,359400,100800,
0,95700,0,373500,100800,
0,96600,0,373200,100200,
0,89500,0,373200,107300,
0,93100,0,373200,103700,
0,92800,0,377700,99500,
0,92800,0,377700,99500,
0,92800,0,375900,101300,
0,92200,0,361500,116300,
0,88200,0,365500,116300,
0,87900,0,365800,116300,
0,87900,0,365800,116300,
0,87900,0,365500,116600,
0,88500,0,365500,116000,
0,95700,0,365500,108800,
0,95400,0,365800,108800,
0,86800,0,365800,117400,
0,86800,0,365500,117700,
0,93400,0,364900,111700,
0,97000,0,364900,108100,
0,96700,0,364300,109000,
0,82900,0,364300,122800,
0,82900,0,364900,122200,
0,82300,0,364900,122800,
0,82300,0,364900,122800,
0,72200,0,354800,143000,
0,92400,0,354800,122800,
0,92400,0,359000,118600,
0,91800,0,359000,119200,
0,91800,0,359000,119200,
0,96000,0,354800,119200,
0,99600,0,351200,119200,
0,99600,0,350900,119500,
0,81500,0,373200,115300,
0,77900,0,376800,115300,
0,77600,0,377100,115300,
0,77600,0,382500,109900,
0,80600,0,381900,107500,
0,80000,0,383100,106900,
0,80000,0,383100,106900,
0,79700,0,383400,106900,
0,79700,0,383400,106900,
0,79700,0,389400,100900,
0,7900,0,317600,244500,
0,6100,0,317600,246300,
0,6700,0,317000,246300,
0,6700,0,311600,251700,
0,6700,0,311300,252000,
0,6100,0,311300,252600,
0,6100,0,304100,259800,
